detector,descriptor,frame,lidar_ttc,image_ttc
AKAZE,BRIEF,9,12.1889,15.5193
AKAZE,BRIEF,10,15.3122,11.5973
AKAZE,BRIEF,11,9.91929,13.0568
AKAZE,BRIEF,12,10.4633,12.3966
AKAZE,BRIEF,13,9.16567,10.0979
AKAZE,BRIEF,14,11.6992,10.5799
AKAZE,BRIEF,15,7.88476,10.2765
AKAZE,BRIEF,16,9.37072,10.0881
AKAZE,BRIEF,17,9.33367,9.82401
AKAZE,BRIEF,18,9.21515,8.94304
AKAZE,FREAK,1,13.7365,12.4678
AKAZE,FREAK,2,11.5888,15.0495
AKAZE,FREAK,3,18.3729,14.1482
AKAZE,FREAK,4,12.4296,13.9741
AKAZE,FREAK,5,13.4841,15.97
AKAZE,FREAK,6,7.04164,14.4621
AKAZE,FREAK,7,51.4338,15.4366
AKAZE,FREAK,8,22.9753,15.8195
AKAZE,FREAK,9,12.1889,16.7114
AKAZE,FREAK,10,15.3122,11.9479
AKAZE,FREAK,11,9.91929,12.1757
AKAZE,FREAK,12,10.4633,11.0523
AKAZE,FREAK,13,9.16567,10.8497
AKAZE,FREAK,14,11.6992,9.86108
AKAZE,FREAK,15,7.88476,9.71799
AKAZE,FREAK,16,9.37072,10.5453
AKAZE,FREAK,17,9.33367,9.47767
AKAZE,FREAK,18,9.21515,8.7623
AKAZE,AKAZE,1,13.7365,12.5322
AKAZE,AKAZE,2,11.5888,14.1895
AKAZE,AKAZE,3,18.3729,12.8667
AKAZE,AKAZE,4,12.4296,14.3821
AKAZE,AKAZE,5,13.4841,16.1959
AKAZE,AKAZE,6,7.04164,13.8196
AKAZE,AKAZE,7,51.4338,15.3297
AKAZE,AKAZE,8,22.9753,15.4445
AKAZE,AKAZE,9,12.1889,14.1769
AKAZE,AKAZE,10,15.3122,11.6107
AKAZE,AKAZE,11,9.91929,12.1404
AKAZE,AKAZE,12,10.4633,11.2212
AKAZE,AKAZE,13,9.16567,10.893
AKAZE,AKAZE,14,11.6992,10.4936
AKAZE,AKAZE,15,7.88476,10.5605
AKAZE,AKAZE,16,9.37072,9.83152
AKAZE,AKAZE,17,9.33367,9.22986
AKAZE,AKAZE,18,9.21515,8.90026
AKAZE,SIFT,1,13.7365,12.3704
AKAZE,SIFT,2,11.5888,14.6089
AKAZE,SIFT,3,18.3729,13.8103
AKAZE,SIFT,4,12.4296,14.6468
AKAZE,SIFT,5,13.4841,16.8059
AKAZE,SIFT,6,7.04164,15.7837
AKAZE,SIFT,7,51.4338,15.3961
AKAZE,SIFT,8,22.9753,14.512
AKAZE,SIFT,9,12.1889,14.2071
AKAZE,SIFT,10,15.3122,11.9817
AKAZE,SIFT,11,9.91929,12.4483
AKAZE,SIFT,12,10.4633,11.2212
AKAZE,SIFT,13,9.16567,11.1793
AKAZE,SIFT,14,11.6992,10.7609
AKAZE,SIFT,15,7.88476,10.8347
AKAZE,SIFT,16,9.37072,10.0648
AKAZE,SIFT,17,9.33367,9.35865
AKAZE,SIFT,18,9.21515,9.20604
AKAZE,ORB,3,18.3729,6.75309
AKAZE,ORB,9,12.1889,21.5923
AKAZE,ORB,16,9.37072,7.8497
AKAZE,ORB,17,9.33367,17.4252
SIFT,BRISK,1,13.7365,21.0541
SIFT,BRISK,2,11.5888,13.5233
SIFT,BRISK,3,18.3729,14.5429
SIFT,BRISK,4,12.4296,36.7564
SIFT,BRISK,5,13.4841,13.6027
SIFT,BRISK,6,7.04164,27.7139
SIFT,BRISK,7,51.4338,24.0286
SIFT,BRISK,8,22.9753,28.0572
SIFT,BRISK,9,12.1889,22.0433
SIFT,BRISK,10,15.3122,12.7084
SIFT,BRISK,11,9.91929,23.065
SIFT,BRISK,12,10.4633,20.076
SIFT,BRISK,13,9.16567,12.9318
SIFT,BRISK,14,11.6992,14.6966
SIFT,BRISK,15,7.88476,32.5327
SIFT,BRISK,16,9.37072,12.7445
SIFT,BRISK,17,9.33367,16.1816
SIFT,BRISK,18,9.21515,21.5186
SIFT,BRIEF,1,13.7365,-49.779
SIFT,BRIEF,2,11.5888,13.3057
SIFT,BRIEF,3,18.3729,45.3937
SIFT,BRIEF,4,12.4296,29.6366
SIFT,BRIEF,5,13.4841,80.9563
SIFT,BRIEF,6,7.04164,78.0778
SIFT,BRIEF,7,51.4338,55.0468
SIFT,BRIEF,8,22.9753,25.6061
SIFT,BRIEF,9,12.1889,24.028
SIFT,BRIEF,10,15.3122,39.1144
SIFT,BRIEF,11,9.91929,19.2686
SIFT,BRIEF,12,10.4633,20.8227
SIFT,BRIEF,13,9.16567,39.572
SIFT,BRIEF,14,11.6992,26.2806
SIFT,BRIEF,15,7.88476,19.8738
SIFT,BRIEF,16,9.37072,63.4052
SIFT,BRIEF,17,9.33367,41.5644
SIFT,BRIEF,18,9.21515,17.8682
SIFT,FREAK,1,13.7365,42.0618
SIFT,FREAK,2,11.5888,22.4
SIFT,FREAK,3,18.3729,19.4845
SIFT,FREAK,4,12.4296,25.9558
SIFT,FREAK,5,13.4841,39.603
SIFT,FREAK,6,7.04164,18.485
SIFT,FREAK,7,51.4338,-171.077
SIFT,FREAK,8,22.9753,46.129
SIFT,FREAK,9,12.1889,24.0434
SIFT,FREAK,10,15.3122,31.7485
SIFT,FREAK,11,9.91929,21.3699
SIFT,FREAK,12,10.4633,21.9521
SIFT,FREAK,13,9.16567,31.6545
SIFT,FREAK,14,11.6992,43.7781
SIFT,FREAK,15,7.88476,33.0986
SIFT,FREAK,16,9.37072,30.8607
SIFT,FREAK,17,9.33367,-267.967
SIFT,FREAK,18,9.21515,24.2092
SIFT,AKAZE,1,13.7365,11.9768
SIFT,AKAZE,2,11.5888,11.0469
SIFT,AKAZE,3,18.3729,11.8235
SIFT,AKAZE,4,12.4296,16.561
SIFT,AKAZE,5,13.4841,13.4659
SIFT,AKAZE,6,7.04164,11.9077
SIFT,AKAZE,7,51.4338,14.2696
SIFT,AKAZE,8,22.9753,13.607
SIFT,AKAZE,9,12.1889,12.8458
SIFT,AKAZE,10,15.3122,11.0814
SIFT,AKAZE,11,9.91929,12.6706
SIFT,AKAZE,12,10.4633,11.3877
SIFT,AKAZE,13,9.16567,11.2161
SIFT,AKAZE,14,11.6992,8.83254
SIFT,AKAZE,15,7.88476,10.9948
SIFT,AKAZE,16,9.37072,9.31141
SIFT,AKAZE,17,9.33367,8.62812
SIFT,AKAZE,18,9.21515,8.50607
SIFT,SIFT,1,13.7365,11.6196
SIFT,SIFT,2,11.5888,12.5711
SIFT,SIFT,3,18.3729,12.648
SIFT,SIFT,4,12.4296,18.9349
SIFT,SIFT,5,13.4841,12.7957
SIFT,SIFT,6,7.04164,11.4997
SIFT,SIFT,7,51.4338,13.6247
SIFT,SIFT,8,22.9753,14.8419
SIFT,SIFT,9,12.1889,13.0837
SIFT,SIFT,10,15.3122,11.385
SIFT,SIFT,11,9.91929,11.3368
SIFT,SIFT,12,10.4633,11.4202
SIFT,SIFT,13,9.16567,10.605
SIFT,SIFT,14,11.6992,10.3632
SIFT,SIFT,15,7.88476,10.0775
SIFT,SIFT,16,9.37072,9.14027
SIFT,SIFT,17,9.33367,8.65101
SIFT,SIFT,18,9.21515,8.8234
